51020,251,204,51422,10244,simply
10244,251,205,54122,10244,fibonacci
10244,252,205,10284,20528,simply
20528,252,206,87571,20528,fibonacci
20528,253,206,20568,41097,simply
41097,253,207,14169,41097,fibonacci
41097,254,207,41137,82235,simply
82235,254,208,22926,82235,fibonacci
82235,255,208,82275,16451,simply
16451,255,209,37095,16451,fibonacci
16451,256,209,60022,16451,fibonacci
16451,257,209,16455,32906,simply
32906,257,210,97118,32906,fibonacci
32906,258,210,32910,65816,simply
65816,258,211,15714,65816,fibonacci
65816,259,211,65820,13163,simply
13163,259,212,25425,13163,fibonacci
13163,260,212,13164,26327,simply
13163,260,212,41140,13163,fibonacci
13163,261,213,66565,13163,fibonacci
13163,262,213,26328,39491,simply
39491,262,214,10770,39491,fibonacci
39491,263,214,52656,92147,simply
92147,263,215,17427,92147,fibonacci
92147,264,215,10531,19746,simply
19746,264,216,28197,19746,fibonacci
19746,265,216,21062,40808,simply
40808,265,217,45624,40808,fibonacci
40808,266,217,73822,40808,fibonacci
40808,266,217,42124,82933,simply
82933,267,218,11944,82933,fibonacci
82933,268,218,84249,16718,simply
16718,268,219,19327,16718,fibonacci
16718,269,219,16849,33568,simply
33568,269,220,31271,33568,fibonacci
33568,270,220,33699,67268,simply
67268,270,221,50598,67268,fibonacci
67268,271,221,81870,67268,fibonacci
67268,272,221,67399,13466,simply
13466,272,222,13479,26946,simply
26946,272,223,13246,26946,fibonacci
26946,273,223,21434,26946,fibonacci
26946,274,223,26959,53906,simply
53906,274,224,34680,53906,fibonacci
